# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
0	0	0	0	0	0	0	0	18.03033066	 H+ 
0	0	2	1	0	1	0	0	19.017841	H2O H+ 
0	0	0	0	0	0	0	0	19.0310688	 
0	0	2	1	0	0	1	0	21.022086	H2O(18) H+ 
0	0	0	0	0	0	0	0	28.00671577	 
0	0	0	0	0	0	0	0	29.01495552	 
0	0	0	0	0	0	0	0	29.99723053	 
0	0	0	0	0	0	0	0	30.99466705	 
0	0	0	0	0	0	0	0	31.02883339	 
0	0	0	0	0	0	0	0	31.989151	 
0	0	0	0	0	0	0	0	32.03690338	 
0	0	0	0	0	0	0	0	33.04443741	 
0	0	0	0	0	0	0	0	33.99224472	 
0	0	0	0	0	0	0	0	34.04174423	 
0	0	0	0	0	0	0	0	35.03625107	 
0	0	0	0	0	0	0	0	35.05968857	 
0	0	0	0	0	0	0	0	36.04406357	 
0	0	4	1	0	2	0	0	37.028406	H4O2 H+ 
0	0	0	0	0	0	0	0	38.03404999	 
0	0	0	0	0	0	0	0	38.04777145	 
0	0	4	1	0	1	1	0	39.032651	H4OO(18) H+ 
0	0	0	0	0	0	0	0	39.96382523	 
2	0	5	1	1	0	0	0	44.049475	C2H5N H+ 
0	0	0	0	0	0	0	0	46.03985977	 
0	0	0	0	0	0	0	0	47.02414703	 
0	0	0	0	0	0	0	0	48.0078392	 
0	0	0	0	0	0	0	0	51.05314255	 
0	0	0	0	0	0	0	0	51.93994522	 
0	0	0	0	0	0	0	0	54.054039	 
0	0	6	1	0	3	0	0	55.038971	H6O3 H+ 
0	0	0	0	0	0	0	0	55.93492889	 
0	0	0	0	0	0	0	0	56.04697418	 
3	0	7	1	1	0	0	0	58.065125	C3H7N H+ 
2	0	5	1	1	1	0	0	60.04439	C2H5NO H+ 
0	0	0	0	0	0	0	0	61.04034424	 
5	0	6	1	0	0	0	0	67.054226	C5H6 H+ 
4	0	7	1	1	0	0	0	70.065125	C4H7N H+ 
4	0	9	1	1	0	0	0	72.080775	C4H9N H+ 
0	0	0	0	0	0	0	0	73.04420471	 
3	0	7	1	1	1	0	0	74.06004	C3H7NO H+ 
4	0	11	1	1	0	0	0	74.096425	C4H11N H+ 
3	0	9	1	1	1	0	0	76.07569	C3H9NO H+ 
3	0	11	1	1	1	0	0	78.09134	C3H11NO H+ 
5	0	5	1	1	0	0	0	80.049475	C5H5N H+ 
2	0	9	1	1	2	0	0	80.070605	C2H9NO2 H+ 
6	0	8	1	0	0	0	0	81.069876	C6H8 H+ 
0	0	0	0	0	0	0	0	83.06319427	 
6	0	10	1	0	0	0	0	83.085526	C6H10 H+ 
5	0	9	1	1	0	0	0	84.080775	C5H9N H+ 
5	0	8	1	0	1	0	0	85.064791	C5H8O H+ 
4	0	7	1	1	1	0	0	86.06004	C4H7NO H+ 
5	0	11	1	1	0	0	0	86.096425	C5H11N H+ 
4	0	9	1	1	1	0	0	88.07569	C4H9NO H+ 
0	0	0	0	0	0	0	0	89.96463776	 
3	0	7	1	1	2	0	0	90.054955	C3H7NO2 H+ 
4	0	11	1	1	1	0	0	90.09134	C4H11NO H+ 
0	0	0	0	0	0	0	0	90.94975281	 
7	0	6	1	0	0	0	0	91.054226	C7H6 H+ 
0	0	0	0	0	0	0	0	92.06143188	 
7	0	8	1	0	0	0	0	93.069876	C7H8 H+ 
0	0	0	0	0	0	0	0	93.95664978	 
